full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,61360,61360,10031,45,45,5,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9215,9215,14638,2,2,-1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1370,1370,2351,1,1,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,44250,44250,3797,28,28,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53834,53834,5389,46,46,6,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,26149,26149,3906,198,198,32,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34142,34142,2783,8,8,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27409,27409,2804,6,6,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,846,846,1191,2,2,1,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,19270,19270,2817,49,49,8,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3142,3142,3794,0,0,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20128,20128,2330,16,16,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2240,2240,3501,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7650,7650,1843,5,5,2,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10331,10331,1824,9,9,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2603,2603,1657,3,3,1,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9650,9650,1225,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9166,9166,698,2,2,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8363,8363,629,4,4,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,780,780,1748,0,0,0,https://github.com/hangsman/claude-code-source
pedrohcgs/claude-code-my-workflow,1112,1112,2292,2,2,6,https://github.com/pedrohcgs/claude-code-my-workflow
chauncygu/collection-claude-code-source-code,2471,2471,2309,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
affaan-m/ECC,187087,187087,28971,149,149,26,https://github.com/affaan-m/ECC
lintsinghua/claude-code-book,3331,3331,719,5,5,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5904,5904,555,-1,-1,0,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,586,586,1306,0,0,-1,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3804,3804,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
